filename,target,category,fold
bagpipe.wav,0,music,1
ballad.wav,0,music,1
bartok.wav,0,music,1
beat.wav,0,music,1
beatles.wav,0,music,1
bigband.wav,0,music,1
birdland.wav,0,music,1
blues.wav,0,music,1
bmarsalis.wav,0,music,1
brahms.wav,0,music,1
canonaki.wav,0,music,1
caravan.wav,0,music,1
chaka.wav,0,music,1
classical.wav,0,music,1
classical1.wav,0,music,1
classical2.wav,0,music,1
copland.wav,0,music,1
copland2.wav,0,music,1
corea.wav,0,music,1
corea1.wav,0,music,1
cure.wav,0,music,1
debussy.wav,0,music,1
deedee.wav,0,music,1
deedee1.wav,0,music,1
duke.wav,0,music,1
echoes.wav,0,music,2
eguitar.wav,0,music,2
georose.wav,0,music,2
gismonti.wav,0,music,2
glass.wav,0,music,2
glass1.wav,0,music,2
gravity.wav,0,music,2
gravity2.wav,0,music,2
guitar.wav,0,music,2
hendrix.wav,0,music,2
ipanema.wav,0,music,2
jazz.wav,0,music,2
jazz1.wav,0,music,2
led.wav,0,music,2
loreena.wav,0,music,2
madradeus.wav,0,music,2
magkas.wav,0,music,2
march.wav,0,music,2
marlene.wav,0,music,2
mingus.wav,0,music,2
mingus1.wav,0,music,2
misirlou.wav,0,music,2
moanin.wav,0,music,2
narch.wav,0,music,2
ncherry.wav,0,music,2
nearhou.wav,0,music,3
opera.wav,0,music,3
opera1.wav,0,music,3
pop.wav,0,music,3
prodigy.wav,0,music,3
redhot.wav,0,music,3
rock.wav,0,music,3
rock2.wav,0,music,3
russo.wav,0,music,3
tony.wav,0,music,3
u2.wav,0,music,3
unpoco.wav,0,music,3
vlobos.wav,0,music,3
winds.wav,0,music,3
acomic.wav,1,speech,3
acomic2.wav,1,speech,3
allison.wav,1,speech,3
amal.wav,1,speech,3
austria.wav,1,speech,3
bathroom1.wav,1,speech,3
chant.wav,1,speech,3
charles.wav,1,speech,3
china.wav,1,speech,3
comedy.wav,1,speech,3
comedy1.wav,1,speech,3
conversion.wav,1,speech,4
danie.wav,1,speech,4
danie1.wav,1,speech,4
dialogue.wav,1,speech,4
dialogue1.wav,1,speech,4
dialogue2.wav,1,speech,4
diamond.wav,1,speech,4
ellhnika.wav,1,speech,4
emil.wav,1,speech,4
female.wav,1,speech,4
fem_rock.wav,1,speech,4
fire.wav,1,speech,4
geography.wav,1,speech,4
geography1.wav,1,speech,4
georg.wav,1,speech,4
god.wav,1,speech,4
greek.wav,1,speech,4
greek1.wav,1,speech,4
india.wav,1,speech,4
jony.wav,1,speech,4
jvoice.wav,1,speech,4
kedar.wav,1,speech,4
kid.wav,1,speech,4
lena.wav,1,speech,4
male.wav,1,speech,4
my_voice.wav,1,speech,5
nether.wav,1,speech,5
news1.wav,1,speech,5
news2.wav,1,speech,5
nj105.wav,1,speech,5
nj105a.wav,1,speech,5
oneday.wav,1,speech,5
psychic.wav,1,speech,5
pulp.wav,1,speech,5
pulp1.wav,1,speech,5
pulp2.wav,1,speech,5
relation.wav,1,speech,5
serbian.wav,1,speech,5
shannon.wav,1,speech,5
sleep.wav,1,speech,5
smoke1.wav,1,speech,5
smoking.wav,1,speech,5
stupid.wav,1,speech,5
teachers.wav,1,speech,5
teachers1.wav,1,speech,5
teachers2.wav,1,speech,5
thlui.wav,1,speech,5
undergrad.wav,1,speech,5
vegetables.wav,1,speech,5
vegetables1.wav,1,speech,5
vegetables2.wav,1,speech,5
voice.wav,1,speech,5
voices.wav,1,speech,5
